"method","score"
"Innovation",73.9040996982719
"Innovation",76.6125445862371
"Innovation",91.2814081760228
"Innovation",79.0781688096815
"Innovation",79.5601594283198
"Innovation",92.5635328924429
"Innovation",82.2795128891115
"Innovation",68.1264978762264
"Innovation",72.8678066144731
"Innovation",74.8455718451803
"Innovation",88.5374707390036
"Innovation",81.4504733818704
"Innovation",81.7863258948712
"Innovation",79.40759827075
"Innovation",73.9421026950166
"Innovation",93.1526877217852
"Innovation",82.5823739214798
"Innovation",62.373739315637
"Innovation",84.2511183928222
"Innovation",74.6231104566309
"Innovation",69.7438456109079
"Innovation",76.712605699802
"Innovation",70.0867635238806
"Innovation",72.5230919198127
"Innovation",73.3746780036361
"Innovation",64.6691148519122
"Innovation",85.3698537648551
"Innovation",79.7576595662594
"Innovation",69.167277116502
"Innovation",88.7812823527734
"Traditional",75.8822994604052
"Traditional",69.8213995428649
"Traditional",79.8190555527782
"Traditional",79.6763212952775
"Traditional",79.2012810857549
"Traditional",78.0845781344408
"Traditional",76.9529082897157
"Traditional",71.7799416311555
"Traditional",69.7299136245847
"Traditional",69.104043591496
"Traditional",66.4644613770677
"Traditional",70.5534948646354
"Traditional",61.6706706468266
"Traditional",90.5192301088435
"Traditional",82.4468807857619
"Traditional",62.8658879010919
"Traditional",68.9157673834878
"Traditional",68.380095029565
"Traditional",78.8517069940251
"Traditional",71.5996998416366
"Traditional",74.4278755175559
"Traditional",72.0602072550709
"Traditional",71.9398881587529
"Traditional",83.7962591857214
"Traditional",70.4035237204621
"Traditional",85.0383530772081
"Traditional",59.2904764444661
"Traditional",77.210755496943
"Traditional",73.3403756482948
"Traditional",74.1139091774494
