"exercise","supplement","muscle_gain"
"Cardio","Protein",2.4337506873775
"Cardio","Vitamin",4.04774479448741
"Cardio","Placebo",0.85896816603663
"Cardio","Protein",2.7221911768074
"Cardio","Vitamin",1.2792315233678
"Cardio","Placebo",2.28466910574428
"Cardio","Protein",3.48644310557514
"Cardio","Vitamin",3.00688618988812
"Cardio","Placebo",2.78217396917665
"Cardio","Protein",2.05161401695492
"Cardio","Vitamin",1.6000797775132
"Cardio","Placebo",1.80055710700824
"Cardio","Protein",2.53508929558243
"Cardio","Vitamin",2.03281988580219
"Cardio","Placebo",1.84136113567038
"Cardio","Protein",2.58847424117973
"Cardio","Vitamin",2.79178222348435
"Cardio","Placebo",2.54296080067323
"Cardio","Protein",3.59493787843819
"Cardio","Vitamin",2.19563420568015
"Cardio","Placebo",1.93494370827154
"Cardio","Protein",3.27350124931856
"Cardio","Vitamin",1.93186681417415
"Cardio","Placebo",2.45266108106115
"Cardio","Protein",2.31524526749079
"Cardio","Vitamin",3.05360036140119
"Cardio","Placebo",3.58545831768872
"Cardio","Protein",3.93097827389897
"Cardio","Vitamin",2.828572654786
"Cardio","Placebo",0.74971623886269
"Weight","Protein",3.93776842859159
"Weight","Vitamin",2.73989132584038
"Weight","Placebo",3.41957574749554
"Weight","Protein",4.25868680556044
"Weight","Vitamin",2.06212851741491
"Weight","Placebo",2.19167668148833
"Weight","Protein",4.72109762172357
"Weight","Vitamin",2.62148864909102
"Weight","Placebo",2.15489537092096
"Weight","Protein",3.0035999534962
"Weight","Vitamin",2.56106661047441
"Weight","Placebo",2.31571523657925
"Weight","Protein",4.75397187315951
"Weight","Vitamin",1.22585247739608
"Weight","Placebo",2.35444750014473
"Weight","Protein",5.90491339250117
"Weight","Vitamin",2.59115945859371
"Weight","Placebo",2.26626793353765
"Weight","Protein",5.90327452774698
"Weight","Vitamin",3.94766764073866
"Weight","Placebo",2.36634488839966
"Weight","Protein",5.49302877696297
"Weight","Vitamin",2.73208335275964
"Weight","Placebo",2.45702116335587
"Weight","Protein",4.55944382220579
"Weight","Vitamin",2.40848487765416
"Weight","Placebo",1.35294697085931
"Weight","Protein",4.22634006640683
"Weight","Vitamin",2.84840367133695
"Weight","Placebo",2.73437835133508
